bank_name,year,core_capital_ksh_m,total_capital_ksh_m,risk_weighted_assets_ksh_m,core_capital_to_rwa_pct,total_capital_to_rwa_pct,core_capital_to_deposits_pct
KCB Bank Kenya Ltd,2024,144770,176843,962570,15.0,18.4,15.0
Equity Bank Kenya Ltd,2024,132336,149222,846171,15.6,17.6,7.9
Co-operative Bank of Kenya Ltd,2024,114794,133898,639758,17.9,20.9,17.7
NCBA Bank Kenya Plc,2024,89085,89085,437824,20.3,20.3,29.5
Absa Bank Kenya Plc,2024,72331,87910,424835,17.0,20.7,18.2
Stanbic Bank Kenya Ltd,2024,55138,67989,370077,14.9,18.4,10.8
Standard Chartered Bank Kenya Ltd,2024,54089,54269,277613,19.5,19.5,18.7
Diamond Trust Bank Kenya Ltd,2024,49050,54073,312388,15.7,17.3,18.9
I&M Bank Ltd,2024,47946,56528,324995,14.8,17.4,14.8
Bank of Baroda (Kenya) Ltd,2024,34768,34768,103438,33.6,33.6,12.4
Prime Bank Ltd,2024,29829,31300,94391,31.6,33.2,21.7
Bank of India,2024,28693,28950,33942,84.5,85.3,21.1
Citibank N.A. Kenya,2024,25020,25946,127947,19.6,20.3,16.9
Family Bank Ltd,2024,15223,18230,112559,13.5,16.2,-78.7
National Bank of Kenya Ltd,2024,8996,13597,99948,9.0,13.6,27.2
HFC Ltd,2024,8667,9946,40507,21.4,24.6,17.5
Gulf African Bank Ltd,2024,8156,8156,38568,21.1,21.1,-1.4
SBM Bank Kenya Ltd,2024,8038,8721,54643,14.7,16.0,22.0
Victoria Commercial Bank Plc,2024,7758,9128,56423,13.7,16.2,0.0
Guaranty Trust Bank Ltd,2024,6933,6990,11528,60.1,60.6,9.2
Sidian Bank Ltd,2024,5536,7148,45287,12.2,15.8,45.6
Ecobank Kenya Ltd,2024,5009,5272,45459,11.0,11.6,24.9
DIB Bank Kenya Ltd,2024,4093,4093,22915,17.9,17.9,14.8
Kingdom Bank Ltd,2024,4008,4008,21010,19.1,19.1,30.6
Guardian Bank Ltd,2024,3480,3637,12563,27.7,29.0,18.2
Bank of Africa (K) Ltd,2024,3156,4281,26543,11.9,16.1,18.2
Habib Bank AG Zurich,2024,3128,3247,10112,30.9,32.1,16.2
Paramount Bank Ltd,2024,2670,2670,8593,31.1,31.1,8.0
M-Oriental Bank Kenya Ltd,2024,2653,2788,10732,24.7,26.0,18.1
African Banking Corporation Ltd,2024,2571,3481,25933,9.9,13.4,9.4
Premier Bank Kenya Ltd,2024,2507,2798,23893,10.5,11.7,42.8
CIB Kenya Ltd,2024,2367,2425,14004,16.9,17.3,8.9
Middle East Bank (K) Ltd,2024,2158,2281,9915,21.8,23.0,23.4
Development Bank of Kenya Ltd,2024,2141,2424,14716,14.6,16.5,13.4
UBA Kenya Bank Ltd,2024,1492,1492,6373,23.4,23.4,10.4
Credit Bank Plc,2024,1325,1771,21296,6.2,8.3,25.4
Access Bank (Kenya) Plc,2024,152,152,7427,2.1,2.1,25.4
Spire Bank Ltd,2024,-96,-92,346,-27.8,-26.6,18.6
Consolidated Bank of Kenya Ltd,2024,-731,-731,12577,-5.8,-5.8,15.1
