bank_name,year,profit_before_tax_ksh_m,total_assets_ksh_m,shareholders_funds_ksh_m,return_on_assets_pct,return_on_equity_pct
KCB Bank Kenya Ltd,2024,58375,1277767,183715,4.6,31.8
Co-operative Bank of Kenya Ltd,2024,31303,687823,134988,4.6,23.2
Absa Bank Kenya Plc,2024,27975,506129,80177,5.5,34.9
Standard Chartered Bank Kenya Ltd,2024,27849,385206,71503,7.2,38.9
Equity Bank Kenya Ltd,2024,26661,1027680,123102,2.6,21.7
NCBA Bank Kenya Plc,2024,20763,588703,96560,3.5,21.5
Stanbic Bank Kenya Ltd,2024,18804,445248,65417,4.2,28.7
Citibank N.A. Kenya,2024,15290,171822,38159,8.9,40.1
I&M Bank Ltd,2024,14115,414873,66222,3.4,21.3
Diamond Trust Bank Kenya Ltd,2024,6539,381137,65537,1.7,10.0
Bank of Baroda (Kenya) Ltd,2024,5008,200538,33276,2.5,15.1
Prime Bank Ltd,2024,4376,188807,43595,2.3,10.0
Bank of India,2024,3694,90543,29998,4.1,12.3
Family Bank Ltd,2024,3668,168414,21722,2.2,16.9
Gulf African Bank Ltd,2024,1966,44916,8199,4.4,24.0
Kingdom Bank Ltd,2024,1002,41186,3045,2.4,32.9
National Bank of Kenya Ltd,2024,921,148255,13040,0.6,7.1
Habib Bank AG Zurich,2024,593,37853,3377,1.6,17.6
Guaranty Trust Bank Ltd,2024,581,34058,11138,1.7,5.2
Victoria Commercial Bank Plc,2024,556,64953,8280,0.9,6.7
Guardian Bank Ltd,2024,541,16126,3720,3.4,14.5
Sidian Bank Ltd,2024,410,60020,6868,0.7,6.0
Paramount Bank Ltd,2024,308,15902,2915,1.9,10.6
Middle East Bank (K) Ltd,2024,270,16346,2345,1.7,11.5
M-Oriental Bank Kenya Ltd,2024,222,13789,3542,1.6,6.3
HFC Ltd,2024,213,67561,14794,0.3,1.4
Bank of Africa (K) Ltd,2024,150,54037,6295,0.3,2.4
DIB Bank Kenya Ltd,2024,103,28848,5615,0.4,1.8
Development Bank of Kenya Ltd,2024,70,21233,3865,0.3,1.8
Spire Bank Ltd,2024,-98,76,-96,-128.8,102.1
Consolidated Bank of Kenya Ltd,2024,-148,17516,486,-0.8,-30.4
Premier Bank Kenya Ltd,2024,-454,25060,4860,-1.8,-9.4
UBA Kenya Bank Ltd,2024,-587,13701,1494,-4.3,-39.3
African Banking Corporation Ltd,2024,-594,50089,4083,-1.2,-14.6
CIB Kenya Ltd,2024,-1020,17103,3616,-6.0,-28.2
Access Bank (Kenya) Plc,2024,-1287,14331,810,-9.0,-159.0
Credit Bank Plc,2024,-1467,26296,2945,-5.6,-49.8
SBM Bank Kenya Ltd,2024,-1595,101385,9133,-1.6,-17.5
Ecobank Kenya Ltd,2024,-4748,102634,5222,-4.6,-90.9
